ROOT	ANKLE
SPEARTHROWER	ANKLE
BARK	BACK
ROOF	BACK
WALL (OF HOUSE)	BACK
FIRE	BELLY
PEN	BELLY
ROOT	BLOOD VESSEL
LEATHER	BODY
SHELL	BODY
TREE TRUNK	BODY
EGG	BONE
PLANT STEM	BONE
ROPE	BONE
SEED	BONE
SHELL	BONE
STICK	BONE
THORN	BONE
TREE	BONE
BOTTOM	BUTTOCKS
EARRING	EAR
LEAF	EAR
CORNER	ELBOW
FIRE	EYE
FRUIT	EYE
SEED	EYE
TREE	EYE
EDGE	FACE
FORK	FINGERNAIL
NAIL (TOOL)	FINGERNAIL
STAR	FINGERNAIL
SHOE	FOOT
WHEEL	FOOT
CAPE	FOREHEAD
LEAF	HAIR
LEAF	HAIR (BODY)
LEAF	HAIR (HEAD)
EGG	HAND
MOUNTAIN	HAND
BRANCH	HEAD
GOURD	HEAD
ROOF	HEAD
SUMMIT	HEAD
TIP (OF OBJECT)	HEAD
TOP	HEAD
FIREWOOD	HEART
STONE	HEART
MORTAR	HEEL
BED	INTESTINES
SAUSAGE	INTESTINES
SEED	KIDNEY
ANTHILL	LEG
SKY	LEG
TREE	LEG
TREE TRUNK	LEG
EDGE	LIP
SHORE	LIP
SHORE OF LAKE	LIP
TREE	LIVER
LAKE	LUNG
DOOR	MOUTH
EDGE	MOUTH
HOLE	MOUTH
HILL	NAPE (OF NECK)
COLLAR	NECK
SEED	NIPPLE
CAPE	NOSE
SEED	PENIS
SHORE	RIB
AXE	SHOULDER
OAR	SHOULDERBLADE
PADDLE	SHOULDERBLADE
SHOVEL	SHOULDERBLADE
SPADE	SHOULDERBLADE
BARK	SKIN
BASKET	SKIN
BOOK	SKIN
LEAF	SKIN
LEATHER	SKIN
LOINCLOTH	SKIN
SHELL	SKIN
SKIN (OF FRUIT)	SKIN
TOP	SKULL
ROOT	TENDON
ROPE	TENDON
BALL	TESTICLES
EGG	TESTICLES
FRUIT	TESTICLES
SEED	TESTICLES
COLLAR	THROAT
FLAME	TONGUE
LEAF	TOOTH
SEED	TOOTH
SPROUT (SHOOT)	TOOTH
SUN	TOOTH
ROOT	VEIN
BELT	WAIST
PLOUGH (INSTRUMENT)	WAIST
SPADE	WAIST
