SOURCE_ID	SOURCE_NAME	TARGET_ID	TARGET_NAME	AffixFams
List-2023-1308-1	WORLD	List-2023-1308-1185	NATIVE COUNTRY	5
List-2023-1308-1	WORLD	List-2023-1308-12	PLAIN	4
List-2023-1308-1	WORLD	List-2023-1308-1287	HEAVEN	5
List-2023-1308-1	WORLD	List-2023-1308-15	MAINLAND	4
List-2023-1308-1	WORLD	List-2023-1308-28	CAPE	5
List-2023-1308-1	WORLD	List-2023-1308-4	DUST	5
List-2023-1308-1	WORLD	List-2023-1308-45	EARTHQUAKE	14
List-2023-1308-1	WORLD	List-2023-1308-589	ADOBE	5
List-2023-1308-1	WORLD	List-2023-1308-595	PLOUGH	4
List-2023-1308-1	WORLD	List-2023-1308-8	MOUNTAIN OR HILL	4
List-2023-1308-1	WORLD	List-2023-1308-979	DAWN	5
List-2023-1308-2	LAND	List-2023-1308-1	WORLD	13
List-2023-1308-2	LAND	List-2023-1308-1141	WHERE	4
List-2023-1308-2	LAND	List-2023-1308-1184	COUNTRY	4
List-2023-1308-2	LAND	List-2023-1308-1185	NATIVE COUNTRY	11
List-2023-1308-2	LAND	List-2023-1308-1188	BOUNDARY	8
List-2023-1308-2	LAND	List-2023-1308-12	PLAIN	14
List-2023-1308-2	LAND	List-2023-1308-1287	HEAVEN	6
List-2023-1308-2	LAND	List-2023-1308-1288	HELL	4
List-2023-1308-2	LAND	List-2023-1308-14	ISLAND	7
List-2023-1308-2	LAND	List-2023-1308-15	MAINLAND	12
List-2023-1308-2	LAND	List-2023-1308-16	SHORE	8
List-2023-1308-2	LAND	List-2023-1308-17	CAVE	4
List-2023-1308-2	LAND	List-2023-1308-240	WORM	10
List-2023-1308-2	LAND	List-2023-1308-28	CAPE	9
List-2023-1308-2	LAND	List-2023-1308-3	EARTH (SOIL)	7
List-2023-1308-2	LAND	List-2023-1308-34	DITCH	4
List-2023-1308-2	LAND	List-2023-1308-38	SWAMP	4
List-2023-1308-2	LAND	List-2023-1308-4	DUST	11
List-2023-1308-2	LAND	List-2023-1308-45	EARTHQUAKE	22
List-2023-1308-2	LAND	List-2023-1308-464	POTATO	4
List-2023-1308-2	LAND	List-2023-1308-492	KING	4
List-2023-1308-2	LAND	List-2023-1308-563	FLOOR	6
List-2023-1308-2	LAND	List-2023-1308-589	ADOBE	5
List-2023-1308-2	LAND	List-2023-1308-590	FARMER	4
List-2023-1308-2	LAND	List-2023-1308-591	FIELD	4
List-2023-1308-2	LAND	List-2023-1308-593	CULTIVATE	7
List-2023-1308-2	LAND	List-2023-1308-595	PLOUGH	9
List-2023-1308-2	LAND	List-2023-1308-597	FURROW	4
List-2023-1308-2	LAND	List-2023-1308-598	DIG	7
List-2023-1308-2	LAND	List-2023-1308-599	SPADE	6
List-2023-1308-2	LAND	List-2023-1308-6	CLAY	9
List-2023-1308-2	LAND	List-2023-1308-692	BROOM	4
List-2023-1308-2	LAND	List-2023-1308-7	SAND	6
List-2023-1308-2	LAND	List-2023-1308-755	GO DOWN (DESCEND)	4
List-2023-1308-2	LAND	List-2023-1308-8	MOUNTAIN OR HILL	5
List-2023-1308-2	LAND	List-2023-1308-800	LAND (DESCEND)	6
List-2023-1308-2	LAND	List-2023-1308-868	LOW	4
List-2023-1308-2	LAND	List-2023-1308-870	BOTTOM	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1	WORLD	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1047	DIRTY	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-11	PRECIPICE	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1184	COUNTRY	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1185	NATIVE COUNTRY	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1188	BOUNDARY	7
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-12	PLAIN	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1288	HELL	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-13	VALLEY	6
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-14	ISLAND	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-15	MAINLAND	13
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-16	SHORE	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-2	LAND	7
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-240	WORM	10
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-28	CAPE	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-34	DITCH	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-37	SPRING OR WELL	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-38	SWAMP	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-4	DUST	16
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-45	EARTHQUAKE	25
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-5	MUD	7
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-563	FLOOR	8
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-587	BRICK	8
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-588	MORTAR BINDER	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-589	ADOBE	10
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-590	FARMER	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-593	CULTIVATE	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-595	PLOUGH	9
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-597	FURROW	6
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-599	SPADE	8
