SOURCE_ID	SOURCE_NAME	TARGET_ID	TARGET_NAME	FullFams
List-2023-1308-1	WORLD	List-2023-1308-1184	COUNTRY	12
List-2023-1308-1	WORLD	List-2023-1308-1219	PEACE	4
List-2023-1308-1	WORLD	List-2023-1308-15	MAINLAND	4
List-2023-1308-1	WORLD	List-2023-1308-2	LAND	23
List-2023-1308-1	WORLD	List-2023-1308-3	EARTH (SOIL)	20
List-2023-1308-1	WORLD	List-2023-1308-563	FLOOR	10
List-2023-1308-1	WORLD	List-2023-1308-57	LIGHT (RADIATION)	3
List-2023-1308-1	WORLD	List-2023-1308-573	PLACE (POSITION)	3
List-2023-1308-1	WORLD	List-2023-1308-6	CLAY	4
List-2023-1308-1	WORLD	List-2023-1308-63	WEATHER	5
List-2023-1308-1	WORLD	List-2023-1308-846	DOWN OR BELOW	3
List-2023-1308-1	WORLD	List-2023-1308-977	DAY (NOT NIGHT)	7
List-2023-1308-2	LAND	List-2023-1308-1	WORLD	23
List-2023-1308-2	LAND	List-2023-1308-1184	COUNTRY	23
List-2023-1308-2	LAND	List-2023-1308-1185	NATIVE COUNTRY	6
List-2023-1308-2	LAND	List-2023-1308-12	PLAIN	3
List-2023-1308-2	LAND	List-2023-1308-15	MAINLAND	8
List-2023-1308-2	LAND	List-2023-1308-3	EARTH (SOIL)	35
List-2023-1308-2	LAND	List-2023-1308-4	DUST	5
List-2023-1308-2	LAND	List-2023-1308-563	FLOOR	20
List-2023-1308-2	LAND	List-2023-1308-573	PLACE (POSITION)	6
List-2023-1308-2	LAND	List-2023-1308-6	CLAY	7
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1	WORLD	20
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-1184	COUNTRY	15
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-12	PLAIN	3
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-15	MAINLAND	6
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-2	LAND	35
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-4	DUST	8
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-5	MUD	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-563	FLOOR	25
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-573	PLACE (POSITION)	4
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-591	FIELD	3
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-6	CLAY	11
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-7	SAND	5
List-2023-1308-3	EARTH (SOIL)	List-2023-1308-846	DOWN OR BELOW	3
List-2023-1308-4	DUST	List-2023-1308-2	LAND	5
List-2023-1308-4	DUST	List-2023-1308-3	EARTH (SOIL)	8
List-2023-1308-4	DUST	List-2023-1308-453	FLOUR	4
List-2023-1308-4	DUST	List-2023-1308-5	MUD	3
List-2023-1308-4	DUST	List-2023-1308-7	SAND	3
List-2023-1308-4	DUST	List-2023-1308-72	SMOKE (EXHAUST)	6
List-2023-1308-4	DUST	List-2023-1308-74	ASH	7
List-2023-1308-5	MUD	List-2023-1308-1047	DIRTY	4
List-2023-1308-5	MUD	List-2023-1308-3	EARTH (SOIL)	4
List-2023-1308-5	MUD	List-2023-1308-38	SWAMP	11
List-2023-1308-5	MUD	List-2023-1308-4	DUST	3
List-2023-1308-5	MUD	List-2023-1308-588	MORTAR BINDER	4
List-2023-1308-5	MUD	List-2023-1308-589	ADOBE	4
List-2023-1308-5	MUD	List-2023-1308-6	CLAY	23
List-2023-1308-6	CLAY	List-2023-1308-1	WORLD	4
List-2023-1308-6	CLAY	List-2023-1308-2	LAND	7
