Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	1	0
2	LIVER	LUNG	1	1	4	0	8	3
3	EYELASH	EYEBROW	-1	-1	3	5	0	1
4	NOSE	NOSTRIL	1	1	37	0	2	0
5	WATER	WINE	1	1	6	0	1	0
6	SEA	LAKE	-1	1	4	5	1	0
7	FOREST	HUNT	1	1	7	0	2	0
8	SKY	GOD	1	1	8	0	1	0
9	SKY	WEATHER	1	1	5	2	1	0
10	SUN	DAY (NOT NIGHT)	-1	-1	6	8	5	24
11	SUN	SUNDAY	1	1	9	0	4	0
12	MOON	MONTH	0	1	5	5	6	0
13	RAINBOW	BOW	-1	-1	0	5	0	1
14	WOMAN	WIFE	1	1	10	9	1	0
15	WIFE	OLD WOMAN	1	-1	10	0	0	1
16	WIFE	QUEEN	1	1	10	0	1	0
17	WIFE	MARRY	1	0	14	3	1	1
18	BOY	SMALL	-1	-1	0	11	0	1
19	GIRL	DAUGHTER	-1	-1	4	10	0	1
20	HUSBAND	OLD MAN	1	-1	8	2	0	1
21	HUSBAND	MARRY	1	-1	12	3	1	2
22	FATHER	PARENTS	1	1	21	0	6	0
23	FATHER	GRANDFATHER	1	1	15	0	1	0
24	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	3	0
25	FATHER	ANCESTORS	1	1	8	0	5	0
26	FATHER	BIG	1	1	4	0	1	0
27	MOTHER	THUMB	1	1	6	0	1	0
28	GRANDFATHER	OLD MAN	1	1	4	3	1	0
29	GRANDFATHER	ANCESTORS	1	1	17	2	1	0
30	FAMILY	HOUSE	-1	-1	0	12	0	1
31	ANIMAL	FUR	1	-1	5	0	0	2
32	DOG	FLEA	1	1	10	0	1	0
33	FIN	WING	-1	-1	5	12	0	1
34	BEE	FLY (INSECT)	-1	-1	0	6	0	1
35	WORM	SNAKE	-1	1	2	6	1	0
36	SNAKE	FRESHWATER EEL	1	1	7	0	3	0
37	FROG	TURTLE	1	1	4	0	4	1
38	BEARD	CHIN	-1	-1	4	10	0	1
39	BLOOD	RED	1	1	8	0	4	2
40	BACK	BEHIND	1	1	12	2	1	0
41	HEAD	FOREHEAD	1	1	5	0	1	0
42	HEAD	THUMB	1	1	6	0	1	0
43	SKULL	BRAIN	-1	-1	2	5	0	1
44	SKULL	BALD	1	-1	5	0	0	1
45	EYE	SUN	1	1	4	0	2	0
46	EYE	WINDOW	1	1	6	0	1	0
47	EYELASH	FEATHER	-1	-1	0	13	0	1
48	BEAK	LIP	1	-1	6	5	0	1
49	SHOULDER	SHOULDERBLADE	1	1	17	0	3	0
50	HEART	BRAVE	1	1	6	0	4	0
51	INTESTINES	SAUSAGE	1	1	6	3	1	0
52	TESTICLES	FRUIT	-1	-1	0	8	0	1
53	SLEEP	BED	1	1	10	0	2	0
54	PREGNANT	HEAVY	-1	-1	0	4	0	3
55	SEEM	SEE	-1	-1	0	4	0	1
56	FEVER	HOT	-1	-1	3	9	0	2
57	BRUISE	BLUE	-1	-1	0	5	0	2
58	POTATO	SWEET POTATO	-1	-1	4	6	0	4
59	YOLK	YELLOW	-1	-1	2	14	0	1
60	IRON	SILVER	1	1	5	0	1	0
61	HOUSE	HUSBAND	1	1	5	0	2	0
62	DOOR	WINDOW	1	1	10	0	2	0
63	ARCH	RAINBOW	1	1	5	0	1	0
64	SELL	GIVE	-1	-1	0	4	0	2
65	GOLD	SILVER	1	1	4	2	1	0
66	SILVER	MONEY	-1	-1	3	7	2	6
67	SAIL	SAILCLOTH	-1	-1	2	5	0	3
68	SIT	AMBUSH	1	1	4	0	1	0
69	JUMP	DANCE	1	1	5	0	3	0
70	COME BACK	AGAIN	-1	1	0	5	1	0
71	SHIP	SAIL	1	1	8	0	3	0
72	OAR	ROW	-1	1	5	6	2	0
73	BEFORE	ANCESTORS	1	1	5	0	1	0
74	RIGHT	STRAIGHT	-1	-1	2	5	0	1
75	FAR	LONG	-1	-1	2	4	0	1
76	BIG	THUMB	1	1	17	0	4	0
77	SMALL	GIRL	1	1	10	0	1	0
78	LONG	FOR A LONG TIME	1	-1	10	0	0	1
79	FIVE	THUMB	1	-1	4	0	0	1
80	EARLY	MORNING	-1	1	8	10	1	0
81	DAY (NOT NIGHT)	TODAY	1	1	23	0	3	0
82	MORNING	TOMORROW	-1	1	4	5	5	2
83	HOUR	CLOCK	-1	1	5	6	2	0
84	WEEK	SUNDAY	1	0	11	2	1	1
85	WEEK	FRIDAY	1	-1	9	0	0	1
86	SEE	SURPRISED	1	1	5	0	1	0
87	SEE	GUARD	1	1	4	0	1	0
88	WHITE	SILVER	1	1	7	0	4	0
89	RED	YOLK	1	1	7	0	1	0
90	LAUGH	SMILE	1	1	15	3	1	0
91	HATE	ENEMY	0	1	5	5	1	0
92	GOOD	BEAUTIFUL	1	1	20	3	2	0
93	PAPER	READ	1	1	14	0	1	0
