Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	BEAK	MOUTH	-1	-1	0	10	0	1
2	EGG	TESTICLES	1	1	12	2	8	0
3	SUN	CLOCK	1	1	10	0	7	0
4	BUTTOCKS	CHEEK	-1	-1	2	4	0	1
5	LIVER	LUNG	1	1	4	0	3	0
6	CLOUD	SKY	-1	1	2	14	2	1
7	EYELASH	EYELID	-1	1	2	7	1	0
8	LAND	FLOOR	1	1	6	4	2	0
9	LAND	BOTTOM	1	1	4	0	2	0
10	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
11	NOSE	CAPE	1	1	5	0	4	0
12	NOSE	NOSTRIL	1	1	37	0	4	0
13	NOSE	BEAK	1	1	4	0	4	0
14	WATER	SOUP	1	1	10	0	1	0
15	SIDE	RIB	1	-1	8	0	0	1
16	TREE	WOOD	-1	1	10	13	1	0
17	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
18	SKY	WEATHER	1	1	5	2	2	0
19	SUN	LIGHT (RADIATION)	1	-1	6	0	0	1
20	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
21	SUN	SUNDAY	1	1	9	0	3	0
22	MOON	MONTH	0	1	5	5	71	0
23	RAINBOW	BOW	-1	-1	0	5	0	3
24	SHADE	GHOST	1	1	4	2	2	0
25	AIR	WEATHER	1	1	4	0	1	0
26	WEATHER	TIME	-1	-1	0	4	0	3
27	RAIN (PRECIPITATION)	DEW	1	-1	4	0	0	1
28	GLASS	MIRROR	1	1	4	2	3	2
29	FIRE	HELL	1	1	15	0	2	0
30	FIRE	FIREPLACE	1	0	25	0	1	1
31	WOMAN	COW	1	-1	8	0	0	3
32	WOMAN	WIFE	1	1	10	9	5	3
33	WIFE	OLD WOMAN	1	-1	10	0	0	4
34	WIFE	QUEEN	1	-1	10	0	0	1
35	WIFE	GIRL	1	-1	10	0	0	1
36	MALE (OF ANIMAL)	BULL	1	-1	21	0	0	1
37	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
38	BOY	SON	-1	-1	6	16	0	1
39	BOY	SMALL	-1	-1	0	11	0	1
40	GIRL	DAUGHTER	-1	-1	4	10	0	1
